injectionID,10_17_DiHDoHE,10_HDoHE,10_NO2_LA,11_12_DiHETrE,11_HDoHE,11_HETE,11b_PGE2,11b_PGF2a,12_13_DiHODE,12_13_DiHOME,12_13_EpOME,12_HEPE,12_HETE,12_HHTrE,13_14dihydro_15k_PGE2,13_HDoHE,13_HODE,13_HpODE,13_KODE,14_15_DiHETrE,14_HDoHE,15_HEPE,15_HETE,15_HETrE,15deoxy_delta_12_14_PGJ2,16_HDoHE,17_18_DiHETE,17_HDoHE,18_HEPE,19_20_DiHDPA,19_20_EpDPE,1_AG_2_AG,1_LG_2_LG,1_OG_2_OG,20_HDoHE,20_HETE,2_AGE,5S_14R_lipoxinB4,5_6_DiHETrE,5_HETE,5_HETrE,5_iPF2a_VI,7_HDoHE,8_12_iso_iPF2a_VI,8_9_DiHETrE,8_HDoHE,8_HETE,8_HETrE,8iso_15R_PGF2a,8iso_PGA1,8iso_PGA2,8iso_PGE1,8iso_PGE2,8iso_PGF2a,9_10_13_TriHOME,9_10_DiHOME,9_10_EpOME,9_12_13_TriHOME,9_HEPE,9_HODE,9_HOTrE,9_HpODE,AEA,CA,CDCA,Cortisol,DCA,DEA,DHEA,EPEA,ETAEA,FA18.1_w9,FA18.2_w6,FA18.3,FA20.3_w3,FA20.3_w6,FA20.3_w9,FA20.4_w6,FA20.5_w3,FA22.4_w6,FA22.5_w3,FA22.5_w6,FA22.6_w3,GLCA,HDCA,LCA,NADA,NO2_aLA,PGA1,PGA2,PGB2,PGD2,PGE1,PGE2,PGF2a,PGJ2,TCA,TCDCA,TDCA,THDCA,TLCA,TUDCA,UDCA,delta17_6_keto_PGF1a,thromboxane_B2,LPS22.6,FA18.3_w3,LPI16.1,LPE18.2,LPA14.0,LPA16.0,LPE20.5,LPA18.2,LPA18.0,LPI16.0,LPE18.0,LPA20.3,LPI18.2,LPA20.5,LPE18.3,LPE18.1,LPA16.1,LPE22.4,LPI18.1,LPI22.6,Sphingosine1P18.1,LPA18.1,LPA22.4,LPG22.4,LPG18.1,LPG20.4,cLPA18.1,LPS16.0,Sphingosine1P18.2,cLPA18.0,LPG14.0,LPE22.6,LPS20.4,LPE16.1,LPG20.3,LPI22.4,LPS18.0,LPG18.0,Sphingosine1P16.1,LPS18.2,Sphinganine1P18.0,LPA22.6,LPE20.4,LPS18.1,cLPA16.1,LPA22.5,LPE20.3,LPG16.1,LPE22.5,LPE14.0,cLPA18.2,LPS22.4,LPE16.0,LPG22.6,LPA20.4,FA18.3_w6,LPG16.0,LPI20.4,LPI18.0,cLPA20.4,LPG18.2,cLPA14.0,SampleID,Group
1,,11736.385,7645.77,6227.903,4566.033,1476.355,,,34239.561,109943.056,,48464.77,34981.015,,9335.577,1724.391,16465.785,,79541.878,11680.999,84746.569,,4198.97,13581.243,39127.464,3131.896,6644.487,11707.669,,11347.325,,1757811.154,6104861.049,18798083.918,,,,31756.206,3227.274,,61444.732,,,,6474.284,3096.348,,,,21052.72,,,3017.933,,130146.459,,3929.707,50448.513,,18531.099,4958.299,9935.278,33113.496,2573846.379,59607.796,,33019.223,1543.817,23298.26,2763.868,27671.676,46933.671,70226.058,157043.3,27759.961,11064.185,42928.269,1032278.2,498575.072,138996.201,28755.519,69062.094,7199785.659,,7004048.946,3726682.11,30955.589,16347.492,,,,6364.609,,7661.645,,,4650156.806,601421.903,933502.266,3762452.371,604513.227,21747941.472,48933215.198,7797.002,7412.575,20051.709,11283.981,8982.486,271918.955,1172.519,52465.886,61888.358,116417.909,41690.678,25668.146,535944.193,1843.44,33427.191,2688.665,2369.692,335142.252,12246.712,40715.029,67574.573,2212.624,333888.181,64534.793,7043.398,3419.429,96007.535,7898.293,11354.929,53873.949,48235.492,15225.952,3946.224,388295.785,36563.095,28792.536,6273.725,785.512,26159.804,16296.194,22975.746,5250.279,104520.974,12604.243,528807.413,11329.177,252528.916,2355.84,71848.141,11157.863,26548.547,2087.67,7837.845,2596.547,609300.789,7537.588,38149.768,8548.299,44246.877,226072.973,208014.721,2440.778,74204.37,10601.885,193,FMT_NGBB
10,,13138.301,13196.314,13214.815,5450.396,2955.875,,,,379709.178,19716.246,56340.584,40838.103,9932.227,36608.122,,34534.383,,167227.241,22054.269,71257.561,,,16705.015,78564.945,3916.848,13721.49,6567.022,,28337.536,,5192724.993,13860523.358,25974536.716,,,,69739.025,10798.247,,81914.107,,,6340.602,15333.783,,,,,28936.839,,6854.652,11883.49,,425423.98,14956.028,12407.159,132568.323,,42382.708,8773.563,13637.574,58705.555,1491628.816,21899.111,,99854.895,1314.551,43351.808,2417.176,53977.645,75844.727,86016.074,907630.13,48614.154,19486.983,38797.802,1737206.095,1074386.09,221471.349,52944.837,88076.136,13233899.559,,22890161.121,21406753.357,65988.034,20906.623,,,,11160.571,18512.24,22276.062,,,13523324.152,1133781.917,1476095.672,8059765.164,460897.35,21471484.631,52457181.974,12323.877,8127.937,44483.757,13995.164,18161.121,644196.968,1293.32,145858.464,155765.848,453478.765,74064.642,40720.781,2042632.372,3170.067,83421.115,5850.038,1887.542,656282.811,38698.764,86477.152,98282.122,7192.564,747005.015,208246.117,12510.536,3758.41,219477.199,25223.693,32681.914,106052.495,86385.734,40018.77,9099.647,971499.79,75778.456,48152.036,15214.853,3896.735,38065.722,28525.091,62732.669,17028.936,211765.165,44289.678,1004787.527,16658.457,453411.433,1693.918,200893.159,53094.381,52574.705,4903.373,19222.265,6311.59,1398520.039,22733.955,116086.303,16765.245,70266.625,691507.323,402391.09,7139.079,173151.851,27992.63,92,Placebo
11,,14742.065,8947.829,7367.145,1739.838,1615.667,,,46542.895,535482.094,,110916.59,77815.0,12100.653,14006.025,,31681.858,,67849.727,18407.113,102939.594,,,,74283.865,1714.677,,1755.89,,14584.617,,2507920.493,8016733.181,4563368.63,,,,45218.344,2974.576,,42566.134,,,,6455.242,,,,,9549.477,,3931.627,3458.677,,170707.48,12768.161,4032.356,71655.831,,30876.398,7148.08,10633.917,33828.783,455445.894,,,7742.768,691.299,25596.468,1784.921,26846.086,42542.999,137198.758,541207.314,38332.469,8679.583,10290.872,1354456.592,505378.582,235740.859,30965.176,149063.82,10659571.362,,1638682.985,1553297.991,28430.255,20634.359,15840.727,,,6670.007,4630.854,10219.491,,,4661535.81,255976.632,615553.217,3625269.02,184256.383,4397207.647,8708301.748,5742.51,19388.078,10470.724,39299.842,5075.512,586176.494,362.857,88342.583,145854.092,204669.702,77079.88,53861.601,2607250.767,3412.279,158534.016,1549.426,7769.896,943931.956,9741.644,179277.993,54466.179,5710.096,1016371.883,76357.644,11634.367,2836.849,70076.995,19070.408,21087.239,102438.136,111866.548,78014.13,3784.014,1014584.825,7379.692,47140.334,2695.351,1974.952,78416.916,25469.288,21315.825,4104.258,363240.89,29373.288,927593.386,6367.768,575840.011,4940.75,82274.807,10896.229,63945.718,3919.945,24744.641,5903.248,2937794.908,11243.667,101549.005,35330.372,53837.256,547990.673,439602.157,8671.5,85798.021,22387.991,232,Chow control
12,,16590.505,19096.514,15706.044,3804.163,2009.075,,,86323.556,898471.573,19336.202,78896.619,57958.922,,19499.824,,39205.84,,116515.671,30856.117,95882.565,,,,135269.792,4173.256,8365.469,5594.616,,24626.451,,3156618.5,20384070.478,10425944.459,,2888.978,,49363.237,4939.239,,78091.124,,,,8650.77,,,,,23886.4,,3538.578,9428.102,,337592.32,20948.043,7491.765,96835.266,,44376.975,15951.987,16398.458,49796.104,4662458.694,23060.957,,22188.786,3061.252,39715.128,3550.234,48408.395,50831.168,181271.658,1373988.594,65334.303,12092.144,25278.12,2259637.583,1519043.639,341901.612,56772.712,241380.839,18310091.8,,9298848.214,1964706.798,54732.417,22365.326,,,,14249.023,8523.525,20809.919,,,10879108.95,228499.366,724470.938,3788248.378,130216.154,5936821.674,58815965.76,14448.312,4324.643,16125.092,33256.629,3551.154,674486.503,,76067.168,147872.631,423306.301,68822.709,35603.105,977139.652,2391.176,190550.297,3348.001,5853.298,424186.274,12658.955,97608.769,30081.419,8804.341,551342.154,82866.125,11121.806,3481.066,90400.14,15743.625,12337.756,93585.923,71761.331,41072.543,1213.595,931835.236,28510.752,38560.941,4323.686,1172.956,22058.572,16606.801,14720.909,12769.234,116670.193,31231.232,938754.11,7499.944,310364.619,4037.61,57857.47,9489.455,51004.817,2049.615,20984.511,8010.303,1431415.486,10145.298,130263.126,29957.609,31951.977,620452.902,215894.807,5059.926,130509.13,6740.138,181,Chow control
13,,25475.943,54193.432,9641.462,2865.966,2342.737,,,57998.619,319498.913,13465.196,128250.849,91117.088,,29998.834,,41133.616,,195201.305,19812.75,176252.449,,,21375.888,59089.993,3556.0,8256.885,15725.678,,20271.385,,812328.016,1780813.161,6469288.779,,2388.183,,177348.318,5832.472,11229.981,110336.063,,,8141.784,9160.67,,,,,23119.766,,1434.149,11461.233,,1023649.205,11777.423,8240.836,267120.688,,52565.877,10331.57,19831.491,49611.944,6783960.675,103983.683,,52824.464,1463.196,50630.357,1537.458,78954.442,65397.754,123457.427,281260.106,39640.855,9445.708,52776.77,1607857.102,679763.101,247305.545,52694.917,95836.823,11591995.004,,8314963.17,8687010.639,37103.45,25830.724,29683.909,,,14141.407,10161.629,51221.073,,,35249625.236,5152292.253,3274612.62,36031596.337,923041.659,62528891.701,33983502.889,14896.168,9891.202,6462.6,10721.148,7254.051,221195.106,719.73,51346.938,64190.114,98078.423,63440.514,50996.65,1993851.805,1739.068,25589.489,1812.374,1207.775,778695.205,10312.086,48830.938,70877.761,3679.765,836346.556,60829.912,5797.788,2377.926,88238.644,12349.978,23430.101,95210.472,97283.896,48543.381,7306.016,339562.447,10885.031,40229.866,9760.295,2359.732,51781.35,37324.799,51419.135,2387.759,361924.014,8759.257,410129.802,9999.048,513553.225,,71861.071,18997.656,26451.342,5032.586,12043.446,6976.669,1462908.943,9009.128,30335.564,17534.557,61430.177,198450.446,386696.954,2180.149,50309.461,28291.465,152,FMT
14,,6988.466,15824.806,8333.663,,2391.51,,,74897.574,164480.249,12366.166,16019.844,18710.012,,44464.059,,16866.348,,137108.517,16021.9,29249.786,,,,167266.699,1824.036,6990.453,2299.917,,18757.904,,6286063.936,8073247.592,13314542.167,,2030.088,,85140.168,4925.336,,86962.376,,,10465.618,7976.045,,,,,27241.587,,4000.346,15851.42,,266774.504,,,87951.593,,25946.151,6542.821,19518.454,43548.065,5459878.353,181594.826,,65440.501,,38008.592,2295.17,71470.35,67331.969,101279.807,310908.366,45865.739,13636.489,61854.727,1511812.786,729329.636,180726.226,30763.291,150800.701,12098785.191,,16707310.76,5356087.423,33256.399,28558.139,19046.809,,,19226.309,19089.535,23478.43,,,7517745.032,1901618.423,2687702.451,6093330.409,1159104.507,83751810.832,151258467.753,15105.24,5255.601,17339.468,12238.388,13532.221,572474.97,958.233,82366.544,135927.049,226341.991,86137.699,48846.12,2252895.298,2994.65,88324.149,2966.632,4015.874,1055578.09,26010.49,102119.969,83408.453,7344.913,1017211.793,122311.083,10649.301,2679.888,182107.204,20293.297,37077.255,89491.184,129616.588,45251.786,8898.015,1070449.78,20847.573,80933.523,12240.243,2243.391,33885.293,48238.025,70878.863,7841.062,269012.649,30888.255,1141214.571,9437.967,755762.048,4770.367,196768.761,38005.532,65802.914,6452.2,16761.74,6151.036,2567959.892,19405.314,90456.912,16666.05,109885.879,551938.037,380269.296,10160.43,150339.902,40239.846,223,FMT
15,,37741.524,19622.19,5169.505,2445.389,3095.539,,,36386.136,174759.597,14746.701,324425.862,248316.972,30389.793,26879.79,,97891.064,,325205.533,7820.566,331423.036,,3455.05,36752.172,51192.134,3316.136,,14447.108,,13369.717,,2103130.55,4606993.73,15611070.164,,,,70157.006,4643.071,,114127.748,,,5254.486,6816.171,,,,,14397.615,,,11790.504,,1529518.822,9598.974,12765.247,310370.184,,151749.63,17011.282,17718.417,29331.876,1636645.035,12089.581,,15471.047,2466.676,24764.448,4991.642,29706.491,61441.161,73928.33,190388.411,25217.427,9053.244,32674.957,787190.51,490526.396,112243.61,29443.99,72361.321,8626369.685,,3918701.55,2615521.4,35720.859,15946.931,38920.841,,,7671.06,15038.327,8939.108,,,5020743.12,631746.854,1421713.971,6621879.336,508151.902,10042506.008,8649966.158,7022.958,36039.876,24980.481,13259.141,11908.896,359569.053,882.244,98247.985,89552.861,243119.836,59094.489,43087.092,1854603.754,3077.041,40343.48,4153.497,1506.741,685499.866,26089.206,100527.106,95601.502,5518.933,942085.003,129988.528,13132.95,1460.569,129688.031,12347.357,30998.103,90870.028,96324.51,48858.576,7292.966,479556.521,46126.891,54102.24,10225.977,1955.608,72588.898,35985.987,66493.679,10648.397,323996.035,20838.406,667623.74,25101.728,722245.911,5982.968,142803.11,31259.97,47882.768,1637.865,16115.919,8438.835,1245836.673,10099.301,98505.794,10163.26,85571.477,340044.238,514501.163,4138.57,77736.741,25426.739,141,NGBB
16,,32548.0,17868.441,12011.813,5769.468,2476.652,,,66717.957,279036.586,28634.731,149451.535,96567.364,9849.742,60760.699,,33648.658,,149231.195,19010.658,192756.0,,3572.963,43003.031,129203.328,4182.879,8124.416,9522.412,,24860.603,,3817653.288,9046523.662,27024884.738,,,,113635.331,11354.264,25191.434,137372.946,,,13435.736,13378.632,,,,,20830.455,,5152.408,21009.827,,536674.952,5266.829,13481.283,153290.633,,38431.769,10082.929,12488.618,56320.851,2682016.064,173228.5,,49244.853,2148.304,55977.959,2767.668,84914.106,78205.692,124826.553,402249.358,64155.843,23955.506,106497.433,1993836.847,1170108.317,256695.609,58883.4,184259.977,15731193.289,,13398841.52,8092314.924,42793.698,37280.788,42868.25,,,18453.133,12493.042,25447.688,,,11553286.978,2745422.323,2992644.598,12282041.753,1894317.352,51355077.105,134394957.941,14014.523,8789.673,25133.479,17066.241,15366.717,754926.251,1025.43,96118.785,169429.491,436495.627,80284.425,49726.41,2693895.41,6335.427,102288.677,8088.502,3803.822,1272014.328,41123.016,116239.107,140078.641,11944.261,909240.886,238545.915,14168.161,2111.298,224329.596,22525.23,50742.033,93029.728,145335.438,53698.992,14057.307,1246068.69,33986.85,87470.567,18401.991,6443.061,55475.178,44824.847,92995.21,5430.387,194292.69,49324.521,1371669.365,18462.25,920694.383,4923.003,323508.904,46450.222,75941.948,4053.033,29742.067,7289.409,1906893.488,15235.305,162533.428,10631.172,99497.594,767519.511,491760.853,12112.4,178225.495,41679.748,192,FMT_NGBB
17,,32429.378,32060.266,37666.989,8873.411,4428.175,,,114584.916,1096183.499,20181.641,252942.096,242876.166,48522.484,96856.529,,105796.498,,294234.652,63087.028,225851.268,,8044.547,28140.736,278581.802,8679.785,24397.607,15675.506,,77881.549,,5496062.426,16113409.314,11858875.481,,5025.518,,171519.922,22670.129,35664.882,105947.447,,,20166.415,32522.274,,,,,16529.061,,,29100.25,,1228060.868,25602.744,12201.746,400944.469,,126420.652,23824.607,30619.041,87315.741,4846947.045,116165.873,,91293.471,2078.796,85187.283,1607.312,115123.398,84061.229,233389.101,1147914.709,114876.864,33126.413,90191.59,4128925.225,2276867.339,598102.112,98866.826,322681.225,30293314.019,,34256595.637,10053665.584,29372.201,55890.105,,,,24410.053,,37588.521,,,15361285.873,2720443.204,2982217.896,4816665.055,1247571.131,80096096.096,128605271.76,13595.745,25402.211,38456.003,50941.399,24787.81,1129816.736,849.881,168888.062,279329.648,430799.23,90602.323,97176.667,5273085.451,4729.747,241646.856,4565.535,11009.546,2087041.369,33009.114,180887.733,141510.728,20289.532,1796784.755,157750.052,19478.044,7032.319,295694.967,47679.085,40069.36,83600.028,256187.054,84968.14,14189.709,1565455.668,55527.01,110549.519,25507.198,6015.856,94592.001,85385.73,128224.371,22105.709,514999.671,47847.217,2043753.126,19194.712,1081845.054,4987.327,378484.48,68716.896,121549.33,7233.731,41059.206,14095.087,4275913.944,26890.728,192630.079,33141.854,172180.507,1161961.69,852346.649,17733.432,258583.599,48173.293,81,Chow control
19,,9422.375,14709.454,7753.459,4298.243,3007.234,,,,204114.263,24583.864,38832.011,27466.22,13442.384,42653.329,,32490.337,,154103.784,21356.095,50915.432,,,,100532.338,3354.687,14463.168,5496.434,,28152.227,,3837923.667,8593908.762,22762564.579,,2470.364,,70983.449,8043.021,19089.792,83650.16,,,11578.093,14435.92,,,,,29827.808,,3733.069,20803.148,,446771.4,8375.819,15835.632,121915.131,,50788.001,12470.004,12057.578,40943.399,2533914.858,75471.248,,60355.905,,38506.819,2326.909,58235.675,59801.63,105681.492,272780.845,36134.167,10119.86,68585.59,1380277.11,836637.748,157580.654,31407.6,114356.129,11980595.217,,8362249.362,6643457.459,56259.654,29702.051,,,,23018.449,12955.989,27929.705,,,7793573.592,1241350.46,1901644.641,5329157.065,536609.445,42077061.633,50164480.471,12457.699,6258.826,14761.625,14577.825,10147.014,522394.764,,122651.233,116685.808,381858.326,96721.515,42028.556,1791413.951,4258.276,56987.796,6714.543,2510.371,1046089.643,40981.027,73102.652,72653.332,6440.669,847376.294,212577.594,13565.97,4060.316,148586.458,17463.835,31338.514,103161.62,93995.059,40213.675,6410.919,818562.985,17177.14,63206.998,6000.015,1654.044,27931.017,37153.447,50981.678,5283.913,234770.417,40441.85,1062694.891,10016.192,600511.559,8063.361,196797.808,21991.327,42834.818,3731.561,8235.256,4554.697,1697226.744,18026.635,130578.176,15559.858,56833.873,535026.085,363183.33,5982.968,91559.564,27417.727,101,FMT_NGBB
